"Time
(hours)","MSE1
24-hr (depth)","MSE2
24-hr
(depth)","MSE3
24-hr
(depth)","MSE4
24-hr
(depth)","MSE5
24-hr
(depth)","MSE6
24-hr
(depth)","Type I
24-hr
(depth)","Type IA
24-hr
(depth)","Type II
6-hr
(depth)","Type II
12-hr
(depth)","Type II
24-hr
(depth)","Type III
6-hr
(depth)","Type III
12-hr
(depth)","Type III
24-hr
(depth)"
14.3,0.91299,0.89136,0.87336,0.85332,0.83142,0.81149,0.77981,0.746132,,,0.830785,,,0.825182
14.4,0.91579,0.89455,0.87686,0.85713,0.83554,0.81582,0.78304,0.749478,,,0.83424,,,0.82968
14.5,0.91856,0.89771,0.88033,0.86089,0.83962,0.8201,0.78625,0.75281,,,0.837625,,,0.834062
14.6,0.92128,0.90081,0.88374,0.8646,0.84364,0.82434,0.78944,0.756126,,,0.84094,,,0.83833
14.7,0.92397,0.90388,0.88711,0.86826,0.84761,0.82852,0.79261,0.759428,,,0.844185,,,0.842483
14.8,0.92662,0.9069,0.89044,0.87188,0.85154,0.83265,0.79576,0.762714,,,0.84736,,,0.84652
14.9,0.92922,0.90988,0.89372,0.87545,0.85541,0.83673,0.79889,0.765984,,,0.850465,,,0.850442
15,0.93179,0.91282,0.89695,0.87897,0.85924,0.84076,0.802,0.76924,,,0.8535,,,0.85425
15.1,0.93324,0.91458,0.89897,0.88126,0.86182,0.84359,0.80509,0.77248,,,0.856465,,,0.857942
15.2,0.93467,0.91633,0.90097,0.88354,0.86438,0.84639,0.80816,0.775706,,,0.85936,,,0.86152
15.3,0.93609,0.91806,0.90296,0.88579,0.86692,0.84917,0.81121,0.778916,,,0.862185,,,0.864982
15.4,0.9375,0.91978,0.90492,0.88802,0.86943,0.85192,0.81424,0.78211,,,0.86494,,,0.86833
15.5,0.93888,0.92147,0.90686,0.89023,0.87193,0.85465,0.81725,0.78529,,,0.867625,,,0.871562
15.6,0.94026,0.92315,0.90879,0.89242,0.8744,0.85736,0.82024,0.788454,,,0.87024,,,0.87468
15.7,0.94161,0.92481,0.91069,0.89458,0.87684,0.86004,0.82321,0.791604,,,0.872785,,,0.877682
15.8,0.94295,0.92645,0.91258,0.89673,0.87926,0.8627,0.82616,0.794738,,,0.87526,,,0.88057
15.9,0.94428,0.92807,0.91444,0.89885,0.88167,0.86533,0.82909,0.797856,,,0.877665,,,0.883342
16,0.94559,0.92968,0.91629,0.90095,0.88404,0.86795,0.832,0.80096,,,0.88,,,0.886
16.1,0.94688,0.93127,0.91811,0.90303,0.8864,0.87053,0.83489,0.804048,,,0.882288,,,0.888575
16.2,0.94816,0.93284,0.91992,0.90509,0.88873,0.8731,0.83776,0.807122,,,0.88455,,,0.8911
16.3,0.94943,0.93439,0.9217,0.90713,0.89104,0.87564,0.84061,0.81018,,,0.886787,,,0.893575
16.4,0.95067,0.93592,0.92347,0.90915,0.89332,0.87816,0.84344,0.813222,,,0.889,,,0.896
16.5,0.95191,0.93744,0.92522,0.91114,0.89559,0.88065,0.84625,0.81625,,,0.891188,,,0.898375
16.6,0.95312,0.93894,0.92694,0.91312,0.89783,0.88312,0.84904,0.819262,,,0.89335,,,0.9007
16.7,0.95432,0.94042,0.92865,0.91507,0.90004,0.88556,0.85181,0.82226,,,0.895487,,,0.902975
16.8,0.95551,0.94188,0.93034,0.917,0.90224,0.88799,0.85456,0.825242,,,0.8976,,,0.9052
16.9,0.95668,0.94332,0.93201,0.91891,0.90441,0.89038,0.85729,0.828208,,,0.899688,,,0.907375
17,0.95784,0.94475,0.93365,0.9208,0.90656,0.89276,0.86,0.83116,,,0.90175,,,0.9095
17.1,0.95897,0.94616,0.93528,0.92267,0.90868,0.89511,0.86269,0.834096,,,0.903787,,,0.911575
17.2,0.9601,0.94755,0.93689,0.92452,0.91079,0.89744,0.86536,0.837018,,,0.9058,,,0.9136
17.3,0.96121,0.94892,0.93848,0.92634,0.91286,0.89974,0.86801,0.839924,,,0.907787,,,0.915575
17.4,0.9623,0.95027,0.94005,0.92814,0.91492,0.90202,0.87064,0.842814,,,0.90975,,,0.9175
17.5,0.96337,0.95161,0.9416,0.92993,0.91696,0.90427,0.87325,0.84569,,,0.911687,,,0.919375
17.6,0.96444,0.95293,0.94313,0.93169,0.91897,0.90651,0.87584,0.84855,,,0.9136,,,0.9212
17.7,0.96548,0.95423,0.94464,0.93343,0.92095,0.90871,0.87841,0.851396,,,0.915488,,,0.922975
17.8,0.96651,0.95551,0.94613,0.93515,0.92292,0.9109,0.88096,0.854226,,,0.91735,,,0.9247
17.9,0.96753,0.95678,0.9476,0.93684,0.92486,0.91306,0.88349,0.85704,,,0.919188,,,0.926375
18,0.96853,0.95802,0.94905,0.93852,0.92678,0.9152,0.886,0.85984,,,0.921,,,0.928
18.1,0.96951,0.95925,0.95048,0.94017,0.92868,0.91731,0.88849,0.862624,,,0.922787,,,0.929592
18.2,0.97048,0.96046,0.95189,0.9418,0.93055,0.9194,0.89096,0.865394,,,0.92455,,,0.93117
18.3,0.97143,0.96165,0.95328,0.94342,0.9324,0.92147,0.89341,0.868148,,,0.926288,,,0.932732
18.4,0.97237,0.96283,0.95465,0.94501,0.93423,0.92351,0.89584,0.870886,,,0.928,,,0.93428
18.5,0.97329,0.96399,0.95601,0.94658,0.93603,0.92553,0.89825,0.87361,,,0.929688,,,0.935812
18.6,0.97419,0.96513,0.95734,0.94812,0.93781,0.92752,0.90064,0.876318,,,0.93135,,,0.93733
18.7,0.97508,0.96625,0.95865,0.94965,0.93957,0.92949,0.90301,0.879012,,,0.932987,,,0.938832
18.8,0.97596,0.96735,0.95994,0.95115,0.94131,0.93144,0.90536,0.88169,,,0.9346,,,0.94032
18.9,0.97682,0.96844,0.96122,0.95264,0.94302,0.93336,0.90769,0.884352,,,0.936187,,,0.941792
19,0.97766,0.9695,0.96247,0.9541,0.94471,0.93526,0.91,0.887,,,0.93775,,,0.94325
19.1,0.97849,0.97055,0.9637,0.95554,0.94638,0.93714,0.91229,0.889632,,,0.939288,,,0.944692
19.2,0.9793,0.97158,0.96492,0.95696,0.94802,0.93899,0.91456,0.89225,,,0.9408,,,0.94612
19.3,0.9801,0.9726,0.96611,0.95836,0.94964,0.94082,0.91681,0.894852,,,0.942288,,,0.947533
